Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020
302,   Kenya,,404,B R,  Less developed regions,902, 196 730, 511 762, 636 140, 712 418, 895 728,1 047 402, 980 955
303,   Kenya,,404,B R," Less developed regions, excluding least developed countries",934,316,297,162,158,177,180,154
304,   Kenya,,404,B R," Less developed regions, excluding China",948, 196 730, 511 762, 636 140, 712 418, 895 728,1 047 402, 980 955
305,   Kenya,,404,B R,  Least developed countries,941, 196 414, 511 465, 635 978, 712 260, 895 551,1 047 222, 980 801
306,   Kenya,,404,B R,  Land-locked Developing Countries (LLDC),1636, 119 824, 223 530, 366 964, 381 343, 425 962, 481 085, 464 873
307,   Kenya,,404,B R,  Small island developing States (SIDS),1637,..,..,..,..,..,..,..
308,   Kenya,,404,B R,  High-income countries,1503,..,..,..,..,..,..,..
309,   Kenya,,404,B R,  Middle-income countries,1517, 66 780, 73 416, 51 451, 42 240, 39 297, 40 115, 34 921
310,   Kenya,,404,B R, Upper-middle-income countries,1502,316,297,162,158,177,180,154
311,   Kenya,,404,B R, Lower-middle-income countries,1501, 66 464, 73 119, 51 289, 42 082, 39 120, 39 935, 34 767
312,   Kenya,,404,B R,  Low-income countries,1500, 129 950, 438 346, 584 689, 670 178, 856 431,1 007 287, 946 034
313,   Kenya,,404,B R, AFRICA,903, 196 730, 511 762, 636 140, 712 418, 895 728,1 047 402, 980 955
314,   Kenya,,404,B R,  Eastern Africa,910, 195 206, 469 859, 578 946, 632 800, 859 420,1 012 218, 927 298
315,   Kenya,,404,B R,  Middle Africa,911,394,391,672, 2 749, 9 133, 24 738, 43 577
316,   Kenya,,404,B R,  Northern Africa,912,814, 41 215, 56 360, 76 711, 26 998, 10 266, 9 926
317,   Kenya,,404,B R,  Southern Africa,913,316,297,162,158,177,180,154
318,   Kenya,,404,B R,  Western Africa,914,..,..,..,..,..,..,..
319,   Kenya,,404,B R, ASIA,935,..,..,..,..,..,..,..
320,   Kenya,,404,B R,  Central Asia,5500,..,..,..,..,..,..,..
321,   Kenya,,404,B R,  Eastern Asia,906,..,..,..,..,..,..,..
322,   Kenya,,404,B R,  South-Eastern Asia,920,..,..,..,..,..,..,..
323,   Kenya,,404,B R,  Southern Asia,5501,..,..,..,..,..,..,..
324,   Kenya,,404,B R,  Western Asia,922,..,..,..,..,..,..,..
325,   Kenya,,404,B R, EUROPE,908,..,..,..,..,..,..,..
326,   Kenya,,404,B R,  Eastern Europe,923,..,..,..,..,..,..,..
327,   Kenya,,404,B R,  Northern Europe,924,..,..,..,..,..,..,..
328,   Kenya,,404,B R,  Southern Europe,925,..,..,..,..,..,..,..
329,   Kenya,,404,B R,  Western Europe,926,..,..,..,..,..,..,..
330,   Kenya,,404,B R, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
331,   Kenya,,404,B R,  Caribbean,915,..,..,..,..,..,..,..
332,   Kenya,,404,B R,  Central America,916,..,..,..,..,..,..,..
333,   Kenya,,404,B R,  South America,931,..,..,..,..,..,..,..
334,   Kenya,,404,B R, NORTHERN AMERICA,905,..,..,..,..,..,..,..
335,   Kenya,,404,B R, OCEANIA ,909,..,..,..,..,..,..,..
336,   Kenya,,404,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
337,   Kenya,,404,B R,  Melanesia,928,..,..,..,..,..,..,..
338,   Kenya,,404,B R,  Micronesia,954,..,..,..,..,..,..,..
339,   Kenya,,404,B R,  Polynesia*,957,..,..,..,..,..,..,..
340,   Kenya,,404,B R,   Burundi,108,99,147,198, 2 045, 4 256, 8 312, 15 098
341,   Kenya,,404,B R,   Democratic Republic of the Congo,180,394,391,672, 2 749, 9 133, 24 738, 43 577
342,   Kenya,,404,B R,   Ethiopia,231, 26 695, 29 521, 20 846, 20 917, 35 309, 36 889, 32 115
343,   Kenya,,404,B R,   Eritrea,232,..,66,961,696, 1 686, 2 127, 1 851
344,   Kenya,,404,B R,   Mozambique,508, 1 043,980,535,523,589,601,523
345,   Kenya,,404,B R,   Namibia,516,119,112,61,60,67,68,58
346,   Kenya,,404,B R,   Rwanda,646, 3 874, 5 861, 3 273, 4 059, 6 201, 6 330, 5 510
347,   Kenya,,404,B R,   Somalia,706, 7 875, 172 164, 159 197, 208 156, 392 063, 488 470, 425 284
348,   Kenya,,404,B R,   South Africa,710,197,185,101,98,110,112,96
349,   Kenya,,404,B R,   South Sudan,728, 5 801, 53 996, 81 156, 62 546, 53 218, 95 765, 121 553
350,   Kenya,,404,B R,   Sudan,729,814, 41 215, 56 360, 76 711, 26 998, 10 266, 9 926
351,   Kenya,,404,B R,   Uganda,800, 83 355, 134 005, 261 491, 291 776, 326 978, 333 789, 290 597
352,   Kenya,,404,B R,   United Republic of Tanzania*,834, 66 464, 73 119, 51 289, 42 082, 39 120, 39 935, 34 767
353,   Kenya,,404,B R,Other,2003, 101 359, 106 983, 71 712, 60 936, 59 197, 79 484, 69 192
354,   Madagascar,,450,C R,WORLD,900, 23 917, 21 177, 23 541, 26 058, 28 905, 32 075, 35 563
355,   Madagascar,,450,C R,  Sub-Saharan Africa,947, 8 179, 7 242, 8 050, 8 910, 9 876, 10 953, 12 153
356,   Madagascar,,450,C R,  Northern Africa and Western Asia,1833,..,..,..,..,..,..,..
357,   Madagascar,,450,C R,  Central and Southern Asia,921, 1 171, 1 037, 1 152, 1 282, 1 425, 1 581, 1 751
358,   Madagascar,,450,C R,  Eastern and South-Eastern Asia,1832, 1 481, 1 312, 1 458, 1 609, 1 784, 1 979, 2 193
359,   Madagascar,,450,C R,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
360,   Madagascar,,450,C R,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
361,   Madagascar,,450,C R,  Australia and New Zealand,927,..,..,..,..,..,..,..
362,   Madagascar,,450,C R,  Europe and Northern America,1829, 6 672, 5 908, 6 567, 7 269, 8 066, 8 950, 9 922
363,   Madagascar,,450,C R,  Developed regions,901, 6 672, 5 908, 6 567, 7 269, 8 066, 8 950, 9 922
364,   Madagascar,,450,C R,  Less developed regions,902, 10 831, 9 591, 10 660, 11 801, 13 085, 14 513, 16 097
365,   Madagascar,,450,C R," Less developed regions, excluding least developed countries",934, 2 652, 2 349, 2 610, 2 891, 3 209, 3 560, 3 944
366,   Madagascar,,450,C R," Less developed regions, excluding China",948, 9 350, 8 279, 9 202, 10 192, 11 301, 12 534, 13 904
367,   Madagascar,,450,C R,  Least developed countries,941, 8 179, 7 242, 8 050, 8 910, 9 876, 10 953, 12 153
368,   Madagascar,,450,C R,  Land-locked Developing Countries (LLDC),1636,..,..,..,..,..,..,..
369,   Madagascar,,450,C R,  Small island developing States (SIDS),1637, 8 179, 7 242, 8 050, 8 910, 9 876, 10 953, 12 153
370,   Madagascar,,450,C R,  High-income countries,1503, 6 672, 5 908, 6 567, 7 269, 8 066, 8 950, 9 922
371,   Madagascar,,450,C R,  Middle-income countries,1517, 10 831, 9 591, 10 660, 11 801, 13 085, 14 513, 16 097
372,   Madagascar,,450,C R, Upper-middle-income countries,1502, 1 481, 1 312, 1 458, 1 609, 1 784, 1 979, 2 193
373,   Madagascar,,450,C R, Lower-middle-income countries,1501, 9 350, 8 279, 9 202, 10 192, 11 301, 12 534, 13 904
374,   Madagascar,,450,C R,  Low-income countries,1500,..,..,..,..,..,..,..
375,   Madagascar,,450,C R, AFRICA,903, 8 179, 7 242, 8 050, 8 910, 9 876, 10 953, 12 153
376,   Madagascar,,450,C R,  Eastern Africa,910, 8 179, 7 242, 8 050, 8 910, 9 876, 10 953, 12 153
377,   Madagascar,,450,C R,  Middle Africa,911,..,..,..,..,..,..,..
378,   Madagascar,,450,C R,  Northern Africa,912,..,..,..,..,..,..,..
379,   Madagascar,,450,C R,  Southern Africa,913,..,..,..,..,..,..,..
380,   Madagascar,,450,C R,  Western Africa,914,..,..,..,..,..,..,..
381,   Madagascar,,450,C R, ASIA,935, 2 652, 2 349, 2 610, 2 891, 3 209, 3 560, 3 944
382,   Madagascar,,450,C R,  Central Asia,5500,..,..,..,..,..,..,..
383,   Madagascar,,450,C R,  Eastern Asia,906, 1 481, 1 312, 1 458, 1 609, 1 784, 1 979, 2 193
384,   Madagascar,,450,C R,  South-Eastern Asia,920,..,..,..,..,..,..,..
385,   Madagascar,,450,C R,  Southern Asia,5501, 1 171, 1 037, 1 152, 1 282, 1 425, 1 581, 1 751
386,   Madagascar,,450,C R,  Western Asia,922,..,..,..,..,..,..,..
387,   Madagascar,,450,C R, EUROPE,908, 6 672, 5 908, 6 567, 7 269, 8 066, 8 950, 9 922
388,   Madagascar,,450,C R,  Eastern Europe,923,..,..,..,..,..,..,..
389,   Madagascar,,450,C R,  Northern Europe,924,..,..,..,..,..,..,..
390,   Madagascar,,450,C R,  Southern Europe,925,..,..,..,..,..,..,..
391,   Madagascar,,450,C R,  Western Europe,926, 6 672, 5 908, 6 567, 7 269, 8 066, 8 950, 9 922
392,   Madagascar,,450,C R, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
393,   Madagascar,,450,C R,  Caribbean,915,..,..,..,..,..,..,..
394,   Madagascar,,450,C R,  Central America,916,..,..,..,..,..,..,..
395,   Madagascar,,450,C R,  South America,931,..,..,..,..,..,..,..
396,   Madagascar,,450,C R, NORTHERN AMERICA,905,..,..,..,..,..,..,..
397,   Madagascar,,450,C R, OCEANIA ,909,..,..,..,..,..,..,..
398,   Madagascar,,450,C R,  Australia and New Zealand,927,..,..,..,..,..,..,..
399,   Madagascar,,450,C R,  Melanesia,928,..,..,..,..,..,..,..
400,   Madagascar,,450,C R,  Micronesia,954,..,..,..,..,..,..,..
401,   Madagascar,,450,C R,  Polynesia*,957,..,..,..,..,..,..,..
402,   Madagascar,,450,C R,   China*,156, 1 481, 1 312, 1 458, 1 609, 1 784, 1 979, 2 193
403,   Madagascar,,450,C R,   Comoros,174, 8 179, 7 242, 8 050, 8 910, 9 876, 10 953, 12 153
404,   Madagascar,,450,C R,   France*,250, 6 672, 5 908, 6 567, 7 269, 8 066, 8 950, 9 922
405,   Madagascar,,450,C R,   India,356, 1 171, 1 037, 1 152, 1 282, 1 425, 1 581, 1 751
406,   Madagascar,,450,C R,Other,2003, 6 414, 5 678, 6 314, 6 988, 7 754, 8 612, 9 544
407,   Malawi,,454,B R,WORLD,900,1 127 724, 241 624, 232 620, 221 661, 217 722, 197 328, 191 362
408,   Malawi,,454,B R,  Sub-Saharan Africa,947,1 094 691, 184 685, 177 801, 169 610, 170 909, 157 004, 157 089
409,   Malawi,,454,B R,  Northern Africa and Western Asia,1833,..,..,..,..,..,..,..
410,   Malawi,,454,B R,  Central and Southern Asia,921, 1 362, 2 683, 2 583, 2 462, 2 419, 2 083, 1 770
411,   Malawi,,454,B R,  Eastern and South-Eastern Asia,1832,..,..,..,..,..,..,..
412,   Malawi,,454,B R,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
413,   Malawi,,454,B R,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
414,   Malawi,,454,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
415,   Malawi,,454,B R,  Europe and Northern America,1829,769, 1 639, 1 578, 1 504, 1 478, 1 272, 1 081
416,   Malawi,,454,B R,  Developed regions,901,769, 1 639, 1 578, 1 504, 1 478, 1 272, 1 081
417,   Malawi,,454,B R,  Less developed regions,902,1 096 053, 187 368, 180 384, 172 072, 173 328, 159 087, 158 859
418,   Malawi,,454,B R," Less developed regions, excluding least developed countries",934, 7 224, 54 700, 52 661, 50 182, 49 293, 42 453, 36 078
419,   Malawi,,454,B R," Less developed regions, excluding China",948,1 096 053, 187 368, 180 384, 172 072, 173 328, 159 087, 158 859
420,   Malawi,,454,B R,  Least developed countries,941,1 088 829, 132 668, 127 723, 121 890, 124 035, 116 634, 122 781
421,   Malawi,,454,B R,  Land-locked Developing Countries (LLDC),1636, 12 442, 99 876, 96 153, 91 625, 91 850, 81 189, 74 955
422,   Malawi,,454,B R,  Small island developing States (SIDS),1637,..,..,..,..,..,..,..
423,   Malawi,,454,B R,  High-income countries,1503,769, 1 639, 1 578, 1 504, 1 478, 1 272, 1 081
424,   Malawi,,454,B R,  Middle-income countries,1517, 16 140, 112 947, 108 736, 103 616, 101 778, 87 656, 74 494
425,   Malawi,,454,B R, Upper-middle-income countries,1502, 1 276, 9 179, 8 837, 8 421, 8 272, 7 124, 6 054
426,   Malawi,,454,B R, Lower-middle-income countries,1501, 14 864, 103 768, 99 899, 95 195, 93 506, 80 532, 68 440
427,   Malawi,,454,B R,  Low-income countries,1500,1 079 913, 74 421, 71 648, 68 456, 71 550, 71 431, 84 365
428,   Malawi,,454,B R, AFRICA,903,1 094 691, 184 685, 177 801, 169 610, 170 909, 157 004, 157 089
429,   Malawi,,454,B R,  Eastern Africa,910,1 091 342, 171 458, 165 066, 157 383, 156 383, 136 768, 122 229
430,   Malawi,,454,B R,  Middle Africa,911, 2 073, 4 048, 3 898, 3 806, 6 254, 13 112, 28 806
431,   Malawi,,454,B R,  Northern Africa,912,..,..,..,..,..,..,..
432,   Malawi,,454,B R,  Southern Africa,913, 1 276, 9 179, 8 837, 8 421, 8 272, 7 124, 6 054
433,   Malawi,,454,B R,  Western Africa,914,..,..,..,..,..,..,..
434,   Malawi,,454,B R, ASIA,935, 1 362, 2 683, 2 583, 2 462, 2 419, 2 083, 1 770
435,   Malawi,,454,B R,  Central Asia,5500,..,..,..,..,..,..,..
436,   Malawi,,454,B R,  Eastern Asia,906,..,..,..,..,..,..,..
437,   Malawi,,454,B R,  South-Eastern Asia,920,..,..,..,..,..,..,..
438,   Malawi,,454,B R,  Southern Asia,5501, 1 362, 2 683, 2 583, 2 462, 2 419, 2 083, 1 770
439,   Malawi,,454,B R,  Western Asia,922,..,..,..,..,..,..,..
440,   Malawi,,454,B R, EUROPE,908,769, 1 639, 1 578, 1 504, 1 478, 1 272, 1 081
441,   Malawi,,454,B R,  Eastern Europe,923,..,..,..,..,..,..,..
442,   Malawi,,454,B R,  Northern Europe,924,769, 1 639, 1 578, 1 504, 1 478, 1 272, 1 081
443,   Malawi,,454,B R,  Southern Europe,925,..,..,..,..,..,..,..
444,   Malawi,,454,B R,  Western Europe,926,..,..,..,..,..,..,..
445,   Malawi,,454,B R, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
446,   Malawi,,454,B R,  Caribbean,915,..,..,..,..,..,..,..
447,   Malawi,,454,B R,  Central America,916,..,..,..,..,..,..,..
448,   Malawi,,454,B R,  South America,931,..,..,..,..,..,..,..
449,   Malawi,,454,B R, NORTHERN AMERICA,905,..,..,..,..,..,..,..
450,   Malawi,,454,B R, OCEANIA ,909,..,..,..,..,..,..,..
451,   Malawi,,454,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
452,   Malawi,,454,B R,  Melanesia,928,..,..,..,..,..,..,..
453,   Malawi,,454,B R,  Micronesia,954,..,..,..,..,..,..,..
454,   Malawi,,454,B R,  Polynesia*,957,..,..,..,..,..,..,..
455,   Malawi,,454,B R,   Burundi,108,705, 5 896, 5 677, 5 410, 5 314, 6 659, 10 079
456,   Malawi,,454,B R,   Congo,178,735, 1 567, 1 509, 1 438, 1 413, 1 216, 1 033
457,   Malawi,,454,B R,   Democratic Republic of the Congo,180, 1 338, 2 481, 2 389, 2 368, 4 841, 11 896, 27 773
458,   Malawi,,454,B R,   India,356, 1 362, 2 683, 2 583, 2 462, 2 419, 2 083, 1 770
459,   Malawi,,454,B R,   Mozambique,508,1 075 410, 60 845, 58 576, 55 817, 54 826, 47 220, 40 131
460,   Malawi,,454,B R,   Rwanda,646, 2 249, 5 138, 4 947, 4 714, 6 482, 5 582, 6 280
461,   Malawi,,454,B R,   Somalia,706,211,61,59,147,87,74,102
462,   Malawi,,454,B R,   South Africa,710, 1 276, 9 179, 8 837, 8 421, 8 272, 7 124, 6 054
463,   Malawi,,454,B R,   United Kingdom*,826,769, 1 639, 1 578, 1 504, 1 478, 1 272, 1 081
464,   Malawi,,454,B R,   United Republic of Tanzania*,834, 3 279, 10 676, 10 278, 9 794, 9 620, 8 285, 7 041
465,   Malawi,,454,B R,   Zambia,894, 5 637, 47 571, 45 797, 43 640, 42 865, 36 918, 31 375
466,   Malawi,,454,B R,   Zimbabwe,716, 3 851, 41 271, 39 732, 37 861, 37 189, 32 030, 27 221
467,   Malawi,,454,B R,Other,2003, 30 902, 52 617, 50 658, 48 085, 42 916, 36 969, 31 422
468,   Mauritius*,,480,C,WORLD,900, 3 613, 7 493, 15 543, 19 647, 24 836, 28 585, 28 893
469,   Mauritius*,,480,C,  Sub-Saharan Africa,947,283,473,928, 1 728, 2 628, 3 023, 3 052
470,   Mauritius*,,480,C,  Northern Africa and Western Asia,1833,..,..,..,..,..,..,..
471,   Mauritius*,,480,C,  Central and Southern Asia,921,596, 1 655, 3 640, 9 502, 15 894, 18 291, 18 517
472,   Mauritius*,,480,C,  Eastern and South-Eastern Asia,1832,496, 3 365, 8 113, 5 232, 2 645, 3 044, 3 071
473,   Mauritius*,,480,C,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
474,   Mauritius*,,480,C,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
475,   Mauritius*,,480,C,  Australia and New Zealand,927,..,..,..,..,..,..,..
476,   Mauritius*,,480,C,  Europe and Northern America,1829, 1 871, 1 443, 1 831, 2 021, 2 330, 2 675, 2 687
477,   Mauritius*,,480,C,  Developed regions,901, 1 894, 1 457, 1 846, 2 032, 2 338, 2 684, 2 695
478,   Mauritius*,,480,C,  Less developed regions,902, 1 352, 5 479, 12 666, 16 451, 21 159, 24 349, 24 632
479,   Mauritius*,,480,C," Less developed regions, excluding least developed countries",934, 1 225, 5 087, 11 790, 11 543, 11 945, 13 745, 13 916
480,   Mauritius*,,480,C," Less developed regions, excluding China",948,915, 2 161, 4 617, 11 279, 18 575, 21 375, 21 629
481,   Mauritius*,,480,C,  Least developed countries,941,127,392,876, 4 908, 9 214, 10 604, 10 716
482,   Mauritius*,,480,C,  Land-locked Developing Countries (LLDC),1636,..,..,..,..,..,..,..
483,   Mauritius*,,480,C,  Small island developing States (SIDS),1637,43,39,58,80,108,124,124
484,   Mauritius*,,480,C,  High-income countries,1503, 1 994, 1 513, 1 891, 2 094, 2 423, 2 782, 2 793
485,   Mauritius*,,480,C,  Middle-income countries,1517, 1 196, 5 181, 12 058, 15 153, 19 095, 21 974, 22 233
486,   Mauritius*,,480,C, Upper-middle-income countries,1502,600, 3 526, 8 418, 5 651, 3 201, 3 683, 3 716
487,   Mauritius*,,480,C, Lower-middle-income countries,1501,596, 1 655, 3 640, 9 502, 15 894, 18 291, 18 517
488,   Mauritius*,,480,C,  Low-income countries,1500,56,242,563, 1 236, 1 979, 2 277, 2 301
489,   Mauritius*,,480,C, AFRICA,903,283,473,928, 1 728, 2 628, 3 023, 3 052
490,   Mauritius*,,480,C,  Eastern Africa,910,99,281,621, 1 316, 2 087, 2 401, 2 425
491,   Mauritius*,,480,C,  Middle Africa,911,..,..,..,..,..,..,..
492,   Mauritius*,,480,C,  Northern Africa,912,..,..,..,..,..,..,..
493,   Mauritius*,,480,C,  Southern Africa,913,184,192,307,412,541,622,627
494,   Mauritius*,,480,C,  Western Africa,914,..,..,..,..,..,..,..
495,   Mauritius*,,480,C, ASIA,935, 1 092, 5 020, 11 753, 14 734, 18 539, 21 335, 21 588
496,   Mauritius*,,480,C,  Central Asia,5500,..,..,..,..,..,..,..
497,   Mauritius*,,480,C,  Eastern Asia,906,460, 3 332, 8 064, 5 183, 2 592, 2 983, 3 011
498,   Mauritius*,,480,C,  South-Eastern Asia,920,36,33,49,49,53,61,60
499,   Mauritius*,,480,C,  Southern Asia,5501,596, 1 655, 3 640, 9 502, 15 894, 18 291, 18 517
500,   Mauritius*,,480,C,  Western Asia,922,..,..,..,..,..,..,..
501,   Mauritius*,,480,C, EUROPE,908, 1 798, 1 386, 1 756, 1 949, 2 255, 2 590, 2 604
502,   Mauritius*,,480,C,  Eastern Europe,923,34,28,38,39,43,49,48
503,   Mauritius*,,480,C,  Northern Europe,924,724,464,464,439,439,504,507
504,   Mauritius*,,480,C,  Southern Europe,925,53,63,109,126,151,173,172
505,   Mauritius*,,480,C,  Western Europe,926,987,831, 1 145, 1 345, 1 622, 1 864, 1 877
506,   Mauritius*,,480,C, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
507,   Mauritius*,,480,C,  Caribbean,915,..,..,..,..,..,..,..
508,   Mauritius*,,480,C,  Central America,916,..,..,..,..,..,..,..
509,   Mauritius*,,480,C,  South America,931,..,..,..,..,..,..,..
510,   Mauritius*,,480,C, NORTHERN AMERICA,905,73,57,75,72,75,85,83
511,   Mauritius*,,480,C, OCEANIA ,909,..,..,..,..,..,..,..
512,   Mauritius*,,480,C,  Australia and New Zealand,927,..,..,..,..,..,..,..
513,   Mauritius*,,480,C,  Melanesia,928,..,..,..,..,..,..,..
514,   Mauritius*,,480,C,  Micronesia,954,..,..,..,..,..,..,..
515,   Mauritius*,,480,C,  Polynesia*,957,..,..,..,..,..,..,..
516,   Mauritius*,,480,C,   Bangladesh,50,71,150,313, 3 672, 7 235, 8 327, 8 415
517,   Mauritius*,,480,C,   Belgium,56,76,35,15,57,103,118,118
518,   Mauritius*,,480,C,   Canada,124,36,27,34,32,32,36,35
519,   Mauritius*,,480,C,   Sri Lanka,144,9,19,42,496,979, 1 126, 1 137
520,   Mauritius*,,480,C,   China*,156,346, 3 273, 8 024, 5 151, 2 564, 2 951, 2 981
521,   Mauritius*,,480,C,   France*,250,788,696,993, 1 119, 1 308, 1 505, 1 519
522,   Mauritius*,,480,C,   Germany,276,57,70,124,118,119,136,136
523,   Mauritius*,,480,C,"   China, Hong Kong SAR*",344,91,45,25,21,20,23,22
524,   Mauritius*,,480,C,   India,356,515, 1 483, 3 278, 5 252, 7 517, 8 651, 8 778
525,   Mauritius*,,480,C,   Ireland,372,30,14,6,24,44,50,49
526,   Mauritius*,,480,C,   Italy,380,38,56,106,113,127,146,146
527,   Mauritius*,,480,C,   Japan,392,23,14,15,11,8,9,8
528,   Mauritius*,,480,C,   Madagascar,450,56,242,563, 1 236, 1 979, 2 277, 2 301
529,   Mauritius*,,480,C,   Malaysia*,458,36,33,49,49,53,61,60
530,   Mauritius*,,480,C,   Pakistan,586,1,3,7,82,163,187,187
531,   Mauritius*,,480,C,   Russian Federation,643,34,28,38,39,43,49,48
532,   Mauritius*,,480,C,   Seychelles,690,43,39,58,80,108,124,124
533,   Mauritius*,,480,C,   South Africa,710,184,192,307,412,541,622,627
534,   Mauritius*,,480,C,   Spain*,724,15,7,3,13,24,27,26
535,   Mauritius*,,480,C,   Switzerland,756,66,30,13,51,92,105,104
